time(s)	cellId	rnti	lcid	packetSize	delay(s)
0.577029	2	1	4	1030	0.0113068
0.577029	2	1	4	1030	0.0112668
0.577029	2	1	4	1030	0.0112268
0.577029	2	1	4	1030	0.0111868
0.577029	2	1	4	1030	0.0111468
0.577029	2	1	4	1030	0.0111068
0.577029	2	1	4	1030	0.0110668
0.578029	2	1	4	1030	0.0120268
0.578029	2	1	4	1030	0.0119868
0.578029	2	1	4	1030	0.0119468
0.578029	2	1	4	1030	0.0119068
0.578029	2	1	4	1030	0.0118668
0.578029	2	1	4	1030	0.0118268
0.578029	2	1	4	1030	0.0117868
0.578029	2	1	4	1030	0.0117468
0.578029	2	1	4	1030	0.0117068
0.578029	2	1	4	1030	0.0116668
0.578029	2	1	4	1030	0.0116268
0.578029	2	1	4	1030	0.0115868
0.578029	2	1	4	1030	0.0115468
0.578029	2	1	4	1030	0.0115068
0.578029	2	1	4	1030	0.0114668
0.578029	2	1	4	1030	0.0114268
0.578029	2	1	4	1030	0.0113868
0.578029	2	1	4	1030	0.0113468
0.578029	2	1	4	1030	0.0113068
0.578029	2	1	4	1030	0.0112668
0.578029	2	1	4	1030	0.0112268
0.578029	2	1	4	1030	0.0111868
0.578029	2	1	4	1030	0.0111468
0.578029	2	1	4	1030	0.0111068
0.578029	2	1	4	1030	0.0110668
0.579029	2	1	4	1030	0.0120268
0.579029	2	1	4	1030	0.0119868
0.579029	2	1	4	1030	0.0119468
0.579029	2	1	4	1030	0.0119068
0.579029	2	1	4	1030	0.0118668
0.579029	2	1	4	1030	0.0118268
0.579029	2	1	4	1030	0.0117868
0.579029	2	1	4	1030	0.0117468
0.579029	2	1	4	1030	0.0117068
0.579029	2	1	4	1030	0.0116668
0.579029	2	1	4	1030	0.0116268
0.579029	2	1	4	1030	0.0115868
0.579029	2	1	4	1030	0.0115468
0.579029	2	1	4	1030	0.0115068
0.579029	2	1	4	1030	0.0114668
0.579029	2	1	4	1030	0.0114268
0.579029	2	1	4	1030	0.0113868
0.579029	2	1	4	1030	0.0113468
0.579029	2	1	4	1030	0.0113068
0.579029	2	1	4	1030	0.0112668
0.579029	2	1	4	1030	0.0112268
0.579029	2	1	4	1030	0.0111868
0.579029	2	1	4	1030	0.0111468
0.579029	2	1	4	1030	0.0111068
0.579029	2	1	4	1030	0.0110668
0.580029	2	1	4	1030	0.0120268
0.580029	2	1	4	1030	0.0119868
0.580029	2	1	4	1030	0.0119468
0.580029	2	1	4	1030	0.0119068
0.580029	2	1	4	1030	0.0118668
0.580029	2	1	4	1030	0.0118268
0.580029	2	1	4	1030	0.0117868
0.580029	2	1	4	1030	0.0117468
0.580029	2	1	4	1030	0.0117068
0.580029	2	1	4	1030	0.0116668
0.580029	2	1	4	1030	0.0116268
0.580029	2	1	4	1030	0.0115868
0.580029	2	1	4	1030	0.0115468
0.580029	2	1	4	1030	0.0115068
0.580029	2	1	4	1030	0.0114668
0.580029	2	1	4	1030	0.0114268
0.580029	2	1	4	1030	0.0113868
0.580029	2	1	4	1030	0.0113468
0.580029	2	1	4	1030	0.0113068
0.580029	2	1	4	1030	0.0112668
0.580029	2	1	4	1030	0.0112268
0.580029	2	1	4	1030	0.0111868
0.580029	2	1	4	1030	0.0111468
0.580029	2	1	4	1030	0.0111068
0.580029	2	1	4	1030	0.0110668
0.581029	2	1	4	1030	0.0120268
0.581029	2	1	4	1030	0.0119868
0.581029	2	1	4	1030	0.0119468
0.581029	2	1	4	1030	0.0119068
0.581029	2	1	4	1030	0.0118668
0.581029	2	1	4	1030	0.0118268
0.581029	2	1	4	1030	0.0117868
0.581029	2	1	4	1030	0.0117468
0.581029	2	1	4	1030	0.0117068
0.581029	2	1	4	1030	0.0116668
0.581029	2	1	4	1030	0.0116268
0.581029	2	1	4	1030	0.0115868
0.581029	2	1	4	1030	0.0115468
0.581029	2	1	4	1030	0.0115068
0.581029	2	1	4	1030	0.0114668
0.581029	2	1	4	1030	0.0114268
0.581029	2	1	4	1030	0.0113868
0.581029	2	1	4	1030	0.0113468
0.581029	2	1	4	1030	0.0113068
0.581029	2	1	4	1030	0.0112668
0.581029	2	1	4	1030	0.0112268
0.581029	2	1	4	1030	0.0111868
0.581029	2	1	4	1030	0.0111468
0.581029	2	1	4	1030	0.0111068
0.581029	2	1	4	1030	0.0110668
0.582029	2	1	4	1030	0.0120268
0.582029	2	1	4	1030	0.0119868
0.582029	2	1	4	1030	0.0119468
0.582029	2	1	4	1030	0.0119068
0.582029	2	1	4	1030	0.0118668
0.582029	2	1	4	1030	0.0118268
0.582029	2	1	4	1030	0.0117868
0.582029	2	1	4	1030	0.0117468
0.582029	2	1	4	1030	0.0117068
0.582029	2	1	4	1030	0.0116668
0.582029	2	1	4	1030	0.0116268
0.582029	2	1	4	1030	0.0115868
0.582029	2	1	4	1030	0.0115468
0.582029	2	1	4	1030	0.0115068
0.582029	2	1	4	1030	0.0114668
0.582029	2	1	4	1030	0.0114268
0.582029	2	1	4	1030	0.0113868
0.582029	2	1	4	1030	0.0113468
0.582029	2	1	4	1030	0.0113068
0.582029	2	1	4	1030	0.0112668
0.582029	2	1	4	1030	0.0112268
0.582029	2	1	4	1030	0.0111868
0.582029	2	1	4	1030	0.0111468
0.582029	2	1	4	1030	0.0111068
0.582029	2	1	4	1030	0.0110668
0.583029	2	1	4	1030	0.0120268
0.583029	2	1	4	1030	0.0119868
0.583029	2	1	4	1030	0.0119468
0.583029	2	1	4	1030	0.0119068
0.583029	2	1	4	1030	0.0118668
0.583029	2	1	4	1030	0.0118268
0.583029	2	1	4	1030	0.0117868
0.583029	2	1	4	1030	0.0117468
0.583029	2	1	4	1030	0.0117068
0.583029	2	1	4	1030	0.0116668
0.583029	2	1	4	1030	0.0116268
0.583029	2	1	4	1030	0.0115868
0.583029	2	1	4	1030	0.0115468
0.583029	2	1	4	1030	0.0115068
0.583029	2	1	4	1030	0.0114668
0.583029	2	1	4	1030	0.0114268
0.583029	2	1	4	1030	0.0113868
0.583029	2	1	4	1030	0.0113468
0.583029	2	1	4	1030	0.0113068
0.583029	2	1	4	1030	0.0112668
0.583029	2	1	4	1030	0.0112268
0.583029	2	1	4	1030	0.0111868
0.583029	2	1	4	1030	0.0111468
0.583029	2	1	4	1030	0.0111068
0.583029	2	1	4	1030	0.0110668
0.583029	2	1	4	1030	0.0110268
0.584029	2	1	4	1030	0.0119868
0.584029	2	1	4	1030	0.0119468
0.584029	2	1	4	1030	0.0119068
0.584029	2	1	4	1030	0.0118668
0.584029	2	1	4	1030	0.0118268
0.584029	2	1	4	1030	0.0117868
0.584029	2	1	4	1030	0.0117468
0.584029	2	1	4	1030	0.0117068
0.584029	2	1	4	1030	0.0116668
0.584029	2	1	4	1030	0.0116268
0.584029	2	1	4	1030	0.0115868
0.584029	2	1	4	1030	0.0115468
0.584029	2	1	4	1030	0.0115068
0.584029	2	1	4	1030	0.0114668
0.584029	2	1	4	1030	0.0114268
0.584029	2	1	4	1030	0.0113868
0.584029	2	1	4	1030	0.0113468
0.584029	2	1	4	1030	0.0113068
0.584029	2	1	4	1030	0.0112668
0.584029	2	1	4	1030	0.0112268
0.584029	2	1	4	1030	0.0111868
0.584029	2	1	4	1030	0.0111468
0.584029	2	1	4	1030	0.0111068
0.584029	2	1	4	1030	0.0110668
0.584029	2	1	4	1030	0.0110268
0.585029	2	1	4	1030	0.0119868
0.585029	2	1	4	1030	0.0119468
0.585029	2	1	4	1030	0.0119068
0.585029	2	1	4	1030	0.0118668
0.585029	2	1	4	1030	0.0118268
0.585029	2	1	4	1030	0.0117868
0.585029	2	1	4	1030	0.0117468
0.585029	2	1	4	1030	0.0117068
0.585029	2	1	4	1030	0.0116668
0.585029	2	1	4	1030	0.0116268
0.585029	2	1	4	1030	0.0115868
0.585029	2	1	4	1030	0.0115468
0.585029	2	1	4	1030	0.0115068
0.585029	2	1	4	1030	0.0114668
0.585029	2	1	4	1030	0.0114268
0.585029	2	1	4	1030	0.0113868
0.585029	2	1	4	1030	0.0113468
0.585029	2	1	4	1030	0.0113068
0.585029	2	1	4	1030	0.0112668
0.585029	2	1	4	1030	0.0112268
0.585029	2	1	4	1030	0.0111868
0.585029	2	1	4	1030	0.0111468
0.585029	2	1	4	1030	0.0111068
0.585029	2	1	4	1030	0.0110668
0.585029	2	1	4	1030	0.0110268
0.586029	2	1	4	1030	0.0119868
0.586029	2	1	4	1030	0.0119468
0.586029	2	1	4	1030	0.0119068
0.586029	2	1	4	1030	0.0118668
0.586029	2	1	4	1030	0.0118268
0.586029	2	1	4	1030	0.0117868
0.586029	2	1	4	1030	0.0117468
0.586029	2	1	4	1030	0.0117068
0.586029	2	1	4	1030	0.0116668
0.586029	2	1	4	1030	0.0116268
0.586029	2	1	4	1030	0.0115868
0.586029	2	1	4	1030	0.0115468
0.586029	2	1	4	1030	0.0115068
0.586029	2	1	4	1030	0.0114668
0.586029	2	1	4	1030	0.0114268
0.586029	2	1	4	1030	0.0113868
0.586029	2	1	4	1030	0.0113468
0.586029	2	1	4	1030	0.0113068
0.586029	2	1	4	1030	0.0112668
0.586029	2	1	4	1030	0.0112268
0.586029	2	1	4	1030	0.0111868
0.586029	2	1	4	1030	0.0111468
0.586029	2	1	4	1030	0.0111068
0.586029	2	1	4	1030	0.0110668
0.586029	2	1	4	1030	0.0110268
0.587029	2	1	4	1030	0.0119868
0.587029	2	1	4	1030	0.0119468
0.587029	2	1	4	1030	0.0119068
0.587029	2	1	4	1030	0.0118668
0.587029	2	1	4	1030	0.0118268
0.587029	2	1	4	1030	0.0117868
0.587029	2	1	4	1030	0.0117468
0.587029	2	1	4	1030	0.0117068
0.587029	2	1	4	1030	0.0116668
0.587029	2	1	4	1030	0.0116268
0.587029	2	1	4	1030	0.0115868
0.587029	2	1	4	1030	0.0115468
0.587029	2	1	4	1030	0.0115068
0.587029	2	1	4	1030	0.0114668
