Time	CellId	RNTI	BWPId	StreamId	SINR(dB)
0.550929	2	1	0	1	61.9789
0.551929	2	1	0	0	62.1184
0.551929	2	1	0	1	61.9789
0.552929	2	1	0	0	62.1184
0.552929	2	1	0	1	61.9789
0.553929	2	1	0	0	62.1184
0.553929	2	1	0	1	61.9789
0.554929	2	1	0	0	62.1184
0.554929	2	1	0	1	61.9789
0.555929	2	1	0	0	62.1184
0.555929	2	1	0	1	61.9789
0.556929	2	1	0	0	62.1184
0.556929	2	1	0	1	61.9789
0.557929	2	1	0	0	62.1184
0.557929	2	1	0	1	61.9789
0.558857	2	1	0	0	62.1184
0.558857	2	1	0	1	61.9789
0.559929	2	1	0	0	62.1184
0.559929	2	1	0	1	61.9789
0.560929	2	1	0	0	62.1184
0.560929	2	1	0	1	61.9789
0.561929	2	1	0	0	62.1184
0.561929	2	1	0	1	61.9789
0.562929	2	1	0	0	62.1184
0.562929	2	1	0	1	61.9789
0.563929	2	1	0	0	62.1184
0.563929	2	1	0	1	61.9789
0.564929	2	1	0	0	62.1184
0.564929	2	1	0	1	61.9789
0.565929	2	1	0	0	62.1184
0.565929	2	1	0	1	61.9789
0.566929	2	1	0	0	62.1184
0.566929	2	1	0	1	61.9789
0.567929	2	1	0	0	62.1184
0.567929	2	1	0	1	61.9789
0.568929	2	1	0	0	62.1184
0.568929	2	1	0	1	61.9789
0.569929	2	1	0	0	62.1184
0.569929	2	1	0	1	61.9789
0.570929	2	1	0	0	62.1184
0.570929	2	1	0	1	61.9789
0.571929	2	1	0	0	62.1184
0.571929	2	1	0	1	61.9789
0.572929	2	1	0	0	62.1184
0.572929	2	1	0	1	61.9789
0.573929	2	1	0	0	62.1184
0.573929	2	1	0	1	61.9789
0.574929	2	1	0	0	62.1184
0.574929	2	1	0	1	61.9789
0.575929	2	1	0	0	62.1184
0.575929	2	1	0	1	61.9789
0.576929	2	1	0	0	62.1184
0.576929	2	1	0	1	61.9789
0.577929	2	1	0	0	62.1184
0.577929	2	1	0	1	61.9789
0.578929	2	1	0	0	62.1184
0.578929	2	1	0	1	61.9789
0.579929	2	1	0	0	62.1184
0.579929	2	1	0	1	61.9789
0.580929	2	1	0	0	62.1184
0.580929	2	1	0	1	61.9789
0.581929	2	1	0	0	62.1184
0.581929	2	1	0	1	61.9789
0.582929	2	1	0	0	62.1184
0.582929	2	1	0	1	61.9789
0.583929	2	1	0	0	62.1184
0.583929	2	1	0	1	61.9789
0.584929	2	1	0	0	62.1184
0.584929	2	1	0	1	61.9789
0.585929	2	1	0	0	62.1184
0.585929	2	1	0	1	61.9789
0.586929	2	1	0	0	62.1184
0.586929	2	1	0	1	61.9789
0.587929	2	1	0	0	62.1184
0.587929	2	1	0	1	61.9789
0.588929	2	1	0	0	62.1184
0.588929	2	1	0	1	61.9789
0.589929	2	1	0	0	62.1184
0.589929	2	1	0	1	61.9789
0.590929	2	1	0	0	62.1184
0.590929	2	1	0	1	61.9789
0.591929	2	1	0	0	62.1184
0.591929	2	1	0	1	61.9789
0.592929	2	1	0	0	62.1184
0.592929	2	1	0	1	61.9789
0.593929	2	1	0	0	62.1184
0.593929	2	1	0	1	61.9789
0.594929	2	1	0	0	62.1184
0.594929	2	1	0	1	61.9789
0.595929	2	1	0	0	62.1184
0.595929	2	1	0	1	61.9789
0.596929	2	1	0	0	62.1184
0.596929	2	1	0	1	61.9789
0.597929	2	1	0	0	62.1184
0.597929	2	1	0	1	61.9789
0.598929	2	1	0	0	62.1184
0.598929	2	1	0	1	61.9789
0.599929	2	1	0	0	62.1184
0.599929	2	1	0	1	61.9789
0.600929	2	1	0	0	62.1184
0.600929	2	1	0	1	61.9789
0.601929	2	1	0	0	62.1184
0.601929	2	1	0	1	61.9789
0.602929	2	1	0	0	62.1184
0.602929	2	1	0	1	61.9789
0.603929	2	1	0	0	62.1184
0.603929	2	1	0	1	61.9789
0.604929	2	1	0	0	62.1184
0.604929	2	1	0	1	61.9789
0.605929	2	1	0	0	62.1184
0.605929	2	1	0	1	61.9789
0.606929	2	1	0	0	62.1184
0.606929	2	1	0	1	61.9789
0.607929	2	1	0	0	62.1184
0.607929	2	1	0	1	61.9789
0.608929	2	1	0	0	62.1184
0.608929	2	1	0	1	61.9789
0.609929	2	1	0	0	62.1184
0.609929	2	1	0	1	61.9789
0.610929	2	1	0	0	62.1184
0.610929	2	1	0	1	61.9789
0.611929	2	1	0	0	62.1184
0.611929	2	1	0	1	61.9789
0.612929	2	1	0	0	62.1184
0.612929	2	1	0	1	61.9789
0.613929	2	1	0	0	62.1184
0.613929	2	1	0	1	61.9789
0.614929	2	1	0	0	62.1184
0.614929	2	1	0	1	61.9789
0.615929	2	1	0	0	62.1184
0.615929	2	1	0	1	61.9789
0.616929	2	1	0	0	64.2513
0.616929	2	1	0	1	64.1805
0.617929	2	1	0	0	64.2513
0.617929	2	1	0	1	64.1805
0.618929	2	1	0	0	64.2513
0.618929	2	1	0	1	64.1805
0.619929	2	1	0	0	64.2513
0.619929	2	1	0	1	64.1805
0.620929	2	1	0	0	64.2513
